id,name,original_name,slug,code,ordering
132,Odia (Oriya),ଓଡ଼ିଆ,or,or
133,Oromo,Afaan Oromoo,om,om
134,Pangasinan,Pangasinan,pag,pa
135,Papiamento,Papiamentu,pap,pa
136,Pashto,پښتو,ps,ps
137,Persian,فارسی,fa,fa
138,Polish,Polski,pl,pl,20
139,Portuguese,Português,pt,pt,5
140,Portuguese (Portugal),Português (Portugal),pt-PT,pt
141,Portuguese (Brazil),Português (Brasil),pt-BR,pt
142,Punjabi,ਪੰਜਾਬੀ,pa,pa
143,Punjabi (Shahmukhi),پنجابی,pa-Arab,pa
144,Quechua,Runa Simi,qu,qu
145,Romani,Romani,rom,ro
146,Romanian,Română,ro,ro
147,Rundi,Ikirundi,rn,rn
148,Russian,Русский,ru,ru,5
149,Samoan,Gagana Sāmoa,sm,sm
150,Sango,Sängö,sg,sg
151,Sanskrit,संस्कृतम्,sa,sa
152,Scots Gaelic,Gàidhlig,gd,gd
153,Serbian,Српски,sr,sr,20
154,Sesotho,Sesotho,st,st
155,Seychellois Creole,Kreol Seselwa,crs,cr
156,Shan,ၵႂၢမ်းတႆ,shn,sh
157,Shona,ChiShona,sn,sn
158,Sicilian,Sicilianu,scn,sc
159,Silesian,Ślōnski,szl,sz
160,Sindhi,سنڌي,sd,sd
161,Sinhala (Sinhalese),සිංහල,si,si
162,Slovak,Slovenčina,sk,sk,20
163,Slovenian,Slovenščina,sl,sl,20
164,Somali,Soomaali,so,so
165,Spanish,Español,es,es,5
166,Sundanese,Basa Sunda,su,su
167,Swahili,Kiswahili,sw,sw
168,Swati,siSwati,ss,ss
169,Swedish,Svenska,sv,sv,10
170,Tajik,тоҷикӣ,tg,tg
171,Tamil,தமிழ்,ta,ta
172,Tatar,татарча,tt,tt
173,Telugu,తెలుగు,te,te
174,Tetum,Tetun,tet,te
175,Thai,ไทย,th,th,20
176,Tigrinya,ትግርኛ,ti,ti
177,Tsonga,Xitsonga,ts,ts
178,Tswana,Setswana,tn,tn
179,Turkish,Türkçe,tr,tr,10
180,Turkmen,Türkmen,tk,tk,50
181,Twi (Akan),Twi,ak,ak
182,Ukrainian,Українська,uk,uk
183,Urdu,اردو,ur,ur
184,Uyghur,ئۇيغۇرچە,ug,ug
185,Uzbek,Oʻzbek,uz,uz
186,Vietnamese,Tiếng Việt,vi,vi,20
187,Welsh,Cymraeg,cy,cy
188,Xhosa,isiXhosa,xh,xh
189,Yiddish,ייִדיש,yi,yi
190,Yoruba,Yorùbá,yo,yo
191,Yucatec Maya,Maaya T'aan,yua,yu
192,Zulu,isiZulu,zu,zu
